instnm,State abbreviation (HD2014),Geographic region (HD2014),Level of institution (HD2014),Degree-granting status (HD2014),Total price for out-of-state students living on campus 2014-15 (DRVIC2014),Total price for in-state students living on campus 2014-15 (DRVIC2014),Total  enrollment (DRVEF2014),Number of students receiving a Doctor's degree (DRVC2014),Number of students receiving a Master's degree (DRVC2014),Number of students receiving a Bachelor's degree (DRVC2014),Percent admitted - total (DRVIC2013_RV),Admissions yield - total (DRVIC2013_RV),Percent admitted - men (DRVIC2013_RV),Percent admitted - women (DRVIC2013_RV)
A & W Healthcare Educators,LA,5,3,2,,,40,,,,,,,
A T Still University of Health Sciences,MO,4,1,1,,,3226,671,305,0,,,,
Aaniiih Nakoda College,MT,7,2,1,,,291,,,,,,,
Aaron's Academy of Beauty,MD,2,3,2,,,28,,,,,,,
ABC Beauty Academy,TX,6,3,2,,,30,,,,,,,
ABC Beauty College Inc,AR,5,3,2,,,38,,,,,,,
Abcott Institute,MI,3,3,2,,,136,,,,,,,
Abdill Career College Inc,OR,8,3,2,,,41,,,,,,,
Abilene Christian University,TX,6,1,1,43100,43100,4427,8,252,783,49,21,44,52
Abington Memorial Hospital Dixon School of Nursing,PA,2,2,2,,,224,,,,,,,
Abraham Baldwin Agricultural College,GA,5,1,1,24379,17934,3458,0,0,104,71,80,70,72
Academy College,MN,4,1,1,,,127,0,0,6,,,,
Academy Di Capelli-School of Cosmetology,CT,1,3,2,,,27,,,,,,,
Academy di Firenze,ID,7,2,2,,,12,,,,,,,
Academy for Careers and Technology,SC,5,3,2,,,39,,,,,,,
Academy for Five Element Acupuncture,FL,5,1,1,,,71,0,25,0,,,,
Academy for Jewish Religion-California,CA,8,1,1,,,65,0,11,0,,,,
Academy for Nursing and Health Occupations,FL,5,2,1,,,424,,,,,,,
Academy for Salon Professionals,CA,8,3,2,,,65,,,,,,,
Academy for Salon Professionals,CA,8,3,2,,,125,,,,,,,
Academy of Aesthetic Arts,KS,4,3,2,,,,,,,,,,
Academy of Art University,CA,8,1,1,38806,38806,15212,0,1167,1233,,,,
Academy of Career Training,FL,5,3,2,,,147,,,,,,,
Academy of Careers and Technology,WV,5,3,2,,,204,,,,,,,
Academy of Chinese Culture and Health Sciences,CA,8,1,1,,,146,0,14,0,,,,
Academy of Cosmetology,WI,3,2,2,,,63,,,,,,,
Academy of Cosmetology,MT,7,2,2,,,29,,,,,,,
Academy of Cosmetology,FL,5,3,2,,,137,,,,,,,
Academy of Cosmetology,WA,8,3,2,,,3,,,,,,,
Academy of Cosmetology and Esthetics NYC,NY,2,3,2,,,107,,,,,,,
Academy of Couture Art,CA,8,1,1,,,22,0,0,0,72,33,60,75
Academy of Esthetics and Cosmetology,CA,8,3,2,,,36,,,,,,,
Academy of Hair Design-Beaumont,TX,6,3,2,,,77,,,,,,,
Academy of Hair Design-Grenada,MS,5,2,2,,,55,,,,,,,
Academy of Hair Design-Jackson,MS,5,2,2,,,86,,,,,,,
Academy of Hair Design-Jasper,TX,6,3,2,,,59,,,,,,,
Academy of Hair Design-Las Vegas,NV,8,2,2,,,45,,,,,,,
Academy of Hair Design-Lufkin,TX,6,3,2,,,96,,,,,,,
Academy of Hair Design-Oklahoma City,OK,6,3,2,,,38,,,,,,,
Academy of Hair Design-Pearl,MS,5,2,2,,,50,,,,,,,
Academy of Hair Design-Salem,OR,8,2,2,,,58,,,,,,,
Academy of Hair Design-Springfield,MO,4,3,2,,,101,,,,,,,
Academy of Hair Technology,SC,5,3,2,,,77,,,,,,,
Academy of Healing Arts Massage & Facial Skin Care,FL,5,3,2,,,66,,,,,,,
Academy of Interactive Entertainment,WA,8,3,2,,,77,,,,76,81,81,63
Academy of Massage and Bodywork,DE,2,3,2,,,48,,,,,,,
Academy of Massage Therapy,NJ,2,3,2,,,,,,,,,,
Academy of Natural Therapy Inc,CO,7,2,1,,,54,,,,,,,
Academy of Salon and Spa,AR,5,3,2,,,102,,,,,,,
Academy of Salon Professionals,MO,4,3,2,,,25,,,,,,,
Academy of Vocal Arts,PA,2,1,2,,,28,0,0,0,,,,
Acadiana Technical College-Lafayette Campus,LA,5,2,1,,,,,,,,,,
Acaydia School of Aesthetics,UT,7,3,2,,,22,,,,,,,
Access Careers,NY,2,3,2,,,286,,,,,,,
Access Careers,NY,2,3,2,,,38,,,,,,,
Ace Computer Training Center,NY,2,3,2,,,162,,,,,,,
Ace Cosmetology and Barber Training Center,CT,1,3,2,,,14,,,,,,,
Acupuncture and Integrative Medicine College-Berkeley,CA,8,1,1,,,138,0,30,0,,,,
Acupuncture and Massage College,FL,5,1,1,,,158,0,43,43,,,,
Adams State University,CO,7,1,1,31364,20564,3154,0,286,361,53,37,51,54
Adelphi University,NY,2,1,1,49940,49940,7610,44,1020,1187,68,16,65,70
Adirondack Beauty School,NY,2,3,2,,,34,,,,,,,
Adirondack Community College,NY,2,2,1,21370,17500,4247,,,,,,,
Adler Graduate School,MN,4,1,1,,,368,0,111,0,,,,
Adler School of Professional Psychology,IL,3,1,1,,,1004,71,202,0,,,,
Adrian College,MI,3,1,1,45072,45072,1641,0,5,314,56,19,50,66
Adrian's College of Beauty Modesto,CA,8,3,2,,,280,,,,,,,
Adrian's College of Beauty Turlock,CA,8,3,2,,,133,,,,,,,
Adult and Community Education-Hudson,OH,3,3,2,,,109,,,,93,59,82,96
Adult and Continuing Education-BCTS,NJ,2,3,2,,,90,,,,,,,
Advance Beauty College,CA,8,3,2,,,474,,,,,,,
Advance Beauty Techs Academy,CA,8,3,2,,,50,,,,,,,
Advance Science Institute,FL,5,3,2,,,34,,,,,,,
Advanced Barber College and Hair Design,TX,6,3,2,,,242,,,,,,,
Advanced Beauty College,TX,6,3,2,,,58,,,,,,,
Advanced Career Institute,CA,8,3,2,,,253,,,,,,,
Advanced College,CA,8,2,1,,,125,,,,,,,
Advanced College of Cosmetology,WI,3,2,2,,,45,,,,,,,
Advanced Computing Institute,CA,8,2,1,,,354,,,,,,,
Advanced Institute of Hair Design-Glendale,WI,3,2,2,,,82,,,,,,,
Advanced Institute of Hair Design-Madison,WI,3,2,2,,,63,,,,,,,
Advanced Technical Centers,FL,5,3,2,,,31,,,,,,,
Advanced Technology Institute,VA,5,2,1,,,717,,,,90,30,90,94
Advanced Training Associates,CA,8,2,1,,,85,,,,,,,
Advanced Training Institute,NV,8,3,2,,,436,,,,,,,
Advanced Welding Institute,VT,1,3,2,,,25,,,,,,,
Adventist University of Health Sciences,FL,5,1,1,25344,25344,2090,0,49,400,98,29,98,98
Advertising Art Educational Services DBA School of Advertising Art,OH,3,2,1,,,139,,,,66,39,47,74
Aerosim Flight Academy,FL,5,3,2,,,135,,,,,,,
Aesthetic Science Institute,NY,2,3,2,,,66,,,,,,,
Aesthetics Institute of Cosmetology,MD,2,3,2,,,86,,,,,,,
Agnes Scott College,GA,5,1,1,48832,48832,873,0,0,214,67,28,,67
AI Miami International University of Art and Design,FL,5,1,1,34402,34402,2846,0,33,536,,,,
AIB College of Business,IA,4,1,1,23988,23988,1014,0,0,183,69,63,67,71
Aiken School of Cosmetology,SC,5,3,2,,,37,,,,,,,
Aiken Technical College,SC,5,2,1,,,2351,,,,,,,
Ailano School of Cosmetology,MA,1,3,2,,,36,,,,,,,
Aims Community College,CO,7,2,1,,,5001,,,,,,,
Air Force Institute of Technology-Graduate School of Engineering & Management,OH,0,1,1,,,860,30,278,0,,,,
Akron Institute of Herzing University,OH,3,1,1,,,318,0,0,11,75,58,58,79
Akron School of Practical Nursing,OH,3,3,2,,,47,,,,77,66,33,85
Alabama A & M University,AL,5,1,1,28384,20884,5333,7,223,472,90,20,87,91
Alabama College of Osteopathic Medicine,AL,5,1,1,,,316,0,0,0,,,,
Alabama Southern Community College,AL,5,2,1,,,1398,,,,,,,
Alabama State College of Barber Styling,AL,5,3,2,,,25,,,,,,,
Alabama State University,AL,5,1,1,25222,18286,5519,55,141,525,51,28,48,53
Alamance Community College,NC,5,2,1,,,4437,,,,,,,
Alamo City Barber College,TX,6,3,2,,,113,,,,,,,
Alamo Community College District Central Office,TX,6,2,1,,,,,,,,,,
Alaska Bible College,AK,8,1,1,16000,16000,46,0,0,4,,,,
Alaska Career College,AK,8,2,1,,,479,,,,,,,
Alaska Christian College,AK,8,2,1,20094,20094,68,,,,,,,
Alaska Pacific University,AK,8,1,1,31210,31210,579,8,63,71,37,18,44,34
Albany BOCES-Adult Practical Nursing Program,NY,2,3,2,,,141,,,,,,,
Albany College of Pharmacy and Health Sciences,NY,2,1,1,44046,44046,1563,271,26,32,63,24,63,64
Albany Law School,NY,2,1,1,,,475,202,3,0,,,,
Albany Medical College,NY,2,1,1,,,823,146,88,0,,,,
Albany State University,GA,5,1,1,29048,19044,3910,0,108,492,20,30,19,21
Albany Technical College,GA,5,2,1,,,3640,,,,,,,
Albert I Prince Technical High School,CT,1,3,2,,,56,,,,,,,
Albertus Magnus College,CT,1,1,1,48650,48650,1550,0,144,334,68,28,64,72
Albion College,MI,3,1,1,49685,49685,1268,0,0,301,56,14,57,56
Albright College,PA,2,1,1,51880,51880,2393,0,12,501,62,17,60,64
Alcorn State University,MS,5,1,1,21392,21392,3639,0,128,404,83,31,83,83
Alderson Broaddus University,WV,5,1,1,33396,33396,1108,0,12,122,43,21,43,44
Alegent Creighton Health School of Radiologic Technology,NE,4,2,1,,,22,,,,,,,
Alexander Academy,MA,1,3,2,,,58,,,,,,,
Alexander Paul Institute of Hair Design,NC,5,3,2,,,29,,,,,,,
Alexandria School of Scientific Therapeutics,IN,3,3,2,,,37,,,,,,,
Alexandria Technical & Community College,MN,4,2,1,,,2604,,,,,,,
Alfred University,NY,2,1,1,40866,40866,2310,8,197,392,70,22,71,69
Alhambra Beauty College,CA,8,3,2,,,92,,,,,,,
Alice Lloyd College,KY,5,1,1,22960,22960,657,0,0,96,45,11,33,41
All Beauty College,AZ,6,3,2,,,37,,,,,,,
All Beauty College,AZ,6,3,2,,,53,,,,,,,
All-State Career School-Allied Health Campus,PA,2,2,1,,,322,,,,,,,
All-State Career School-Lester,PA,2,3,2,,,314,,,,,,,
All-State Career School-Pittsburgh,PA,2,3,2,,,269,,,,,,,
All-State Career-Baltimore,MD,2,3,2,,,714,,,,,,,
Allan Hancock College,CA,8,2,1,,,11047,,,,,,,
Allegany College of Maryland,MD,2,2,1,21898,20668,3227,,,,,,,
Allegheny College,PA,2,1,1,53980,53980,2023,0,0,491,65,21,64,66
Allegheny Wesleyan College,OH,3,1,1,12212,12212,62,0,0,1,,,,
Allen College,IA,4,1,1,32711,32711,575,2,43,177,50,50,,50
Allen County Community College,KS,4,2,1,11134,11134,2628,,,,,,,
Allen School-Brooklyn,NY,2,3,2,,,476,,,,,,,
Allen School-Jamaica,NY,2,3,2,,,322,,,,,,,
Allen School-Phoenix,AZ,6,2,2,,,962,,,,,,,
Allen University,SC,5,1,1,22800,22800,660,0,0,81,,,,
Alliance Computing Solutions,NY,2,3,2,,,36,,,,,,,
Alliant International University,CA,8,1,1,30750,30750,3957,422,518,64,49,44,43,54
Allied American University,CA,8,1,1,,,2244,0,0,46,,,,
Allied Health Careers,TX,6,2,1,,,,,,,,,,
Allied Health Institute,FL,5,2,1,,,441,,,,,,,
Allstate Hairstyling & Barber College,OH,3,2,2,,,34,,,,,,,
Alma College,MI,3,1,1,46350,46350,1396,0,0,281,68,21,61,75
Alpena Community College,MI,3,2,1,,,1636,,,,,,,
Altamaha Technical College,GA,5,2,1,,,,,,,,,,
Altoona Beauty School Inc,PA,2,3,2,,,60,,,,,,,
Alvareitas College of Cosmetology-Belleville,IL,3,3,2,,,13,,,,,,,
Alvareitas College of Cosmetology-Edwardsville,IL,3,3,2,,,47,,,,,,,
Alvareitas College of Cosmetology-Godfrey,IL,3,3,2,,,50,,,,,,,
Alvernia University,PA,2,1,1,44530,44530,2917,4,180,415,78,28,79,77
Alverno College,WI,3,1,1,36154,36154,2389,0,149,345,79,45,,79
Alvin Community College,TX,6,2,1,,,4837,,,,,,,
Amarillo College,TX,6,2,1,,,10336,,,,,,,
Amberton University,TX,6,1,1,,,1381,0,342,78,,,,
Ambiance Beauty & Barber Academy Inc,FL,5,3,2,,,39,,,,,,,
Ambria College of Nursing,IL,3,2,1,,,432,,,,,,,
Amerian National College,TX,6,3,2,,,64,,,,,,,
American Academy McAllister Institute of Funeral Service,NY,2,2,1,,,424,,,,,,,
American Academy of Acupuncture and Oriental Medicine,MN,4,1,1,,,57,0,11,0,,,,
American Academy of Art,IL,3,1,1,,,365,0,0,75,93,44,91,94
